iter	Passed	Remaining
655	2762	1448
656	2766	1444
657	2772	1440
658	2776	1436
659	2779	1432
660	2785	1428
661	2790	1424
662	2793	1420
663	2797	1415
664	2804	1412
665	2807	1408
666	2811	1403
667	2819	1401
668	2822	1396
669	2826	1392
670	2830	1387
671	2835	1384
672	2840	1379
673	2843	1375
674	2849	1371
675	2852	1367
676	2856	1362
677	2861	1358
678	2867	1355
679	2871	1351
680	2874	1346
681	2878	1342
682	2883	1338
683	2887	1334
684	2891	1329
685	2898	1326
686	2901	1322
687	2905	1317
688	2909	1313
689	2915	1309
690	2918	1305
691	2922	1300
692	2926	1296
693	2933	1293
694	2936	1288
695	2940	1284
696	2945	1280
697	2949	1276
698	2953	1271
699	2957	1267
700	2963	1263
701	2967	1259
702	2970	1254
703	2974	1250
704	2979	1246
705	2983	1242
706	2986	1237
707	2991	1233
708	2996	1229
709	3000	1225
710	3003	1220
711	3008	1217
712	3015	1213
713	3019	1209
714	3023	1205
715	3029	1201
716	3032	1196
717	3035	1192
718	3042	1188
719	3046	1184
720	3049	1179
721	3051	1175
722	3056	1171
723	3061	1167
724	3064	1162
725	3068	1157
726	3075	1154
727	3078	1150
728	3081	1145
729	3084	1140
730	3090	1137
731	3094	1132
732	3097	1128
733	3100	1123
734	3108	1120
735	3111	1115
736	3114	1111
737	3117	1106
738	3125	1103
739	3128	1099
740	3131	1094
741	3137	1090
742	3141	1086
743	3144	1082
744	3147	1077
745	3154	1074
746	3157	1069
747	3160	1064
748	3164	1060
749	3170	1056
750	3173	1052
751	3176	1047
752	3180	1043
753	3186	1039
754	3189	1034
755	3191	1030
756	3195	1025
757	3200	1021
758	3203	1017
759	3207	1012
760	3209	1008
761	3214	1004
762	3221	1000
763	3228	997
764	3238	994
765	3249	992
766	3253	988
767	3265	986
768	3269	982
769	3273	977
770	3278	973
771	3282	969
772	3284	964
773	3288	960
774	3293	956
775	3296	951
776	3299	947
777	3303	942
778	3309	938
779	3312	934
780	3316	930
781	3319	925
782	3325	921
783	3329	917
784	3332	912
785	3339	909
786	3344	905
787	3348	900
788	3351	896
789	3356	892
790	3360	887
791	3363	883
792	3366	878
793	3373	875
794	3376	870
795	3380	866
796	3386	862
797	3389	858
798	3392	853
799	3395	848
800	3401	845
801	3405	840
802	3408	836
803	3411	831
804	3416	827
805	3420	823
806	3424	818
807	3427	814
808	3431	810
809	3436	805
810	3439	801
811	3442	796
812	3447	792
813	3450	788
814	3453	783
815	3456	779
816	3459	775
817	3464	770
818	3467	766
819	3470	761
820	3473	757
821	3476	752
822	3481	748
823	3484	744
824	3487	739
825	3490	735
826	3495	731
827	3499	726
828	3502	722
829	3504	717
830	3508	713
831	3514	709
832	3517	705
833	3520	700
834	3523	696
835	3527	692
836	3531	687
837	3534	683
838	3537	678
839	3540	674
840	3544	670
841	3547	665
842	3550	661
843	3554	657
844	3558	652
845	3561	648
846	3564	643
847	3567	639
848	3570	635
849	3574	630
850	3577	626
851	3580	621
852	3583	617
853	3587	613
854	3591	609
855	3594	604
856	3597	600
857	3600	595
858	3603	591
859	3607	587
860	3610	582
861	3613	578
862	3617	574
863	3620	569
864	3624	565
865	3627	561
866	3631	557
867	3636	553
868	3640	548
869	3643	544
870	3646	539
871	3649	535
872	3652	531
873	3655	527
874	3658	522
875	3661	518
876	3665	514
877	3668	509
878	3671	505
879	3674	501
880	3677	496
881	3680	492
882	3684	488
883	3687	483
