iter	RMSE
950	51710.17996
951	51654.61086
952	51626.18681
953	51605.87193
954	51540.26857
955	51528.30602
956	51522.53973
957	51508.60246
958	51500.20957
959	51370.8952
960	51363.34782
961	51312.86095
962	51296.2993
963	51170.59489
964	51134.88728
965	51110.59806
966	51004.62443
967	50996.47405
968	50940.86126
969	50822.67623
970	50816.07114
971	50777.60883
972	50742.70421
973	50735.99347
974	50713.82308
975	50532.9857
976	50475.47827
977	50448.05941
978	50393.7883
979	50345.55057
980	50317.60174
981	50199.31025
982	50187.77291
983	50161.3213
984	50125.68523
985	50089.90086
986	50042.94124
987	50024.55564
988	50018.248
989	49978.87483
990	49964.19311
991	49862.10671
992	49747.53871
993	49726.18734
994	49612.71495
995	49579.21563
996	49401.31254
997	49389.92146
998	49373.70997
999	49357.18634
